postcodes_id,zone_id,postcode_range_start,postcode_range_end,postcode_name,status
359,15,SW1V,SW1V,SW1V,1
360,15,SW1W,SW1W,SW1W,1
361,15,SW1X,SW1X,SW1X,1
362,15,SW1Y,SW1Y,SW1Y,1
363,15,W1B,W1B,W1B,1
364,15,W1C,W1C,W1C,1
365,15,W1D,W1D,W1D,1
366,15,W1F,W1F,W1F,1
367,15,W1G,W1G,W1G,1
368,15,W1H,W1H,W1H,1
369,15,W1J,W1J,W1J,1
370,15,W1K,W1K,W1K,1
371,15,W1S,W1S,W1S,1
372,15,W1T,W1T,W1T,1
373,15,W1U,W1U,W1U,1
374,15,W1W,W1W,W1W,1
375,15,WC1A,WC1A,WC1A,1
376,15,WC1B,WC1B,WC1B,1
377,15,WC1E,WC1E,WC1E,1
378,15,WC1H,WC1H,WC1H,1
379,15,WC1N,WC1N,WC1N,1
380,15,WC1R,WC1R,WC1R,1
381,15,WC1V,WC1V,WC1V,1
382,15,WC1X,WC1X,WC1X,1
383,15,WC2A,WC2A,WC2A,1
384,15,WC2B,WC2B,WC2B,1
385,15,WC2E,WC2E,WC2E,1
386,15,WC2H,WC2H,WC2H,1
387,15,WC2R,WC2R,WC2R,1
388,15,EC1A,EC1A,EC1A,1
389,15,EC1M,EC1M,EC1M,1
390,15,EC1N,EC1N,EC1N,1
391,15,EC1R,EC1R,EC1R,1
392,15,EC1V,EC1V,EC1V,1
393,15,EC1Y,EC1Y,EC1Y,1
394,15,EC2A,EC2A,EC2A,1
395,15,EC2M,EC2M,EC2M,1
396,15,EC2N,EC2N,EC2N,1
397,15,EC2R,EC2R,EC2R,1
398,15,EC2V,EC2V,EC2V,1
399,15,EC2Y,EC2Y,EC2Y,1
400,15,EC3A,EC3A,EC3A,1
401,15,EC3V,EC3V,EC3V,1
402,15,EC4A,EC4A,EC4A,1
403,15,EC4M,EC4M,EC4M,1
404,15,EC4N,EC4N,EC4N,1
405,15,EC4R,EC4R,EC4R,1
406,15,EC4V,EC4V,EC4V,1
407,15,EC4Y,EC4Y,EC4Y,1
408,15,SE11,SE11,SE11,1
409,15,RM2,RM2,RM2,1
410,15,RM1,RM1,RM1,1
411,16,EC2,EC2,EC2,1
412,16,EC3,EC3,EC3,1
413,16,EC4,EC4,EC4,1
414,16,SW1A,SW1A,SW1A,1
415,16,SW1E,SW1E,SW1E,1
416,16,SW1H,SW1H,SW1H,1
417,16,SW1P,SW1P,SW1P,1
418,16,SW1V,SW1V,SW1V,1
419,16,SW1W,SW1W,SW1W,1
420,16,SW1X,SW1X,SW1X,1
421,16,SW1Y,SW1Y,SW1Y,1
422,16,W1B,W1B,W1B,1
423,16,W1C,W1C,W1C,1
424,16,W1D,W1D,W1D,1
425,16,W1F,W1F,W1F,1
426,16,W1G,W1G,W1G,1
427,16,W1H,W1H,W1H,1
428,16,W1J,W1J,W1J,1
429,16,W1K,W1K,W1K,1
430,16,W1S,W1S,W1S,1
431,16,W1T,W1T,W1T,1
432,16,W1U,W1U,W1U,1
433,16,W1W,W1W,W1W,1
434,16,WC1A,WC1A,WC1A,1
435,16,WC1B,WC1B,WC1B,1
436,16,WC1E,WC1E,WC1E,1
437,16,WC1H,WC1H,WC1H,1
438,16,WC1N,WC1N,WC1N,1
439,16,WC1R,WC1R,WC1R,1
440,16,WC1V,WC1V,WC1V,1
441,16,WC1X,WC1X,WC1X,1
442,16,WC2A,WC2A,WC2A,1
443,16,WC2B,WC2B,WC2B,1
444,16,WC2E,WC2E,WC2E,1
445,16,WC2H,WC2H,WC2H,1
446,16,WC2R,WC2R,WC2R,1
447,16,EC1A,EC1A,EC1A,1
448,16,EC1M,EC1M,EC1M,1
449,16,EC1N,EC1N,EC1N,1
450,16,EC1R,EC1R,EC1R,1
451,16,EC1V,EC1V,EC1V,1
452,16,EC1Y,EC1Y,EC1Y,1
453,16,EC2A,EC2A,EC2A,1
454,16,EC2M,EC2M,EC2M,1
455,16,EC2N,EC2N,EC2N,1
456,16,EC2R,EC2R,EC2R,1
457,16,EC2V,EC2V,EC2V,1
458,16,EC2Y,EC2Y,EC2Y,1
459,16,EC3A,EC3A,EC3A,1
460,16,EC3V,EC3V,EC3V,1
461,16,EC4A,EC4A,EC4A,1
462,16,EC4M,EC4M,EC4M,1
463,16,EC4N,EC4N,EC4N,1
464,16,EC4R,EC4R,EC4R,1
465,16,EC4V,EC4V,EC4V,1
466,16,EC4Y,EC4Y,EC4Y,1
467,16,SE11,SE11,SE11,1
468,16,RM2,RM2,RM2,1
469,16,RM1,RM1,RM1,1
470,17,EC3,EC3,EC3,1
471,17,EC4,EC4,EC4,1
472,17,SW1A,SW1A,SW1A,1
473,17,SW1E,SW1E,SW1E,1
474,17,SW1H,SW1H,SW1H,1
475,17,SW1P,SW1P,SW1P,1
476,17,SW1V,SW1V,SW1V,1
477,17,SW1W,SW1W,SW1W,1
478,17,SW1X,SW1X,SW1X,1
479,17,SW1Y,SW1Y,SW1Y,1
480,17,W1B,W1B,W1B,1
481,17,W1C,W1C,W1C,1
482,17,W1D,W1D,W1D,1
483,17,W1F,W1F,W1F,1
484,17,W1G,W1G,W1G,1
485,17,W1H,W1H,W1H,1
486,17,W1J,W1J,W1J,1
487,17,W1K,W1K,W1K,1
488,17,W1S,W1S,W1S,1
489,17,W1T,W1T,W1T,1
490,17,W1U,W1U,W1U,1
491,17,W1W,W1W,W1W,1
492,17,WC1A,WC1A,WC1A,1
493,17,WC1B,WC1B,WC1B,1
494,17,WC1E,WC1E,WC1E,1
495,17,WC1H,WC1H,WC1H,1
496,17,WC1N,WC1N,WC1N,1
497,17,WC1R,WC1R,WC1R,1
498,17,WC1V,WC1V,WC1V,1
499,17,WC1X,WC1X,WC1X,1
500,17,WC2A,WC2A,WC2A,1
501,17,WC2B,WC2B,WC2B,1
502,17,WC2E,WC2E,WC2E,1
503,17,WC2H,WC2H,WC2H,1
504,17,WC2R,WC2R,WC2R,1
505,17,EC1A,EC1A,EC1A,1
506,17,EC1M,EC1M,EC1M,1
507,17,EC1N,EC1N,EC1N,1
508,17,EC1R,EC1R,EC1R,1
509,17,EC1V,EC1V,EC1V,1
510,17,EC1Y,EC1Y,EC1Y,1
511,17,EC2A,EC2A,EC2A,1
512,17,EC2M,EC2M,EC2M,1
513,17,EC2N,EC2N,EC2N,1
514,17,EC2R,EC2R,EC2R,1
515,17,EC2V,EC2V,EC2V,1
516,17,EC2Y,EC2Y,EC2Y,1
517,17,EC3A,EC3A,EC3A,1
518,17,EC3V,EC3V,EC3V,1
519,17,EC4A,EC4A,EC4A,1
520,17,EC4M,EC4M,EC4M,1
521,17,EC4N,EC4N,EC4N,1
522,17,EC4R,EC4R,EC4R,1
523,17,EC4V,EC4V,EC4V,1
524,17,EC4Y,EC4Y,EC4Y,1
525,17,SE11,SE11,SE11,1
526,17,RM2,RM2,RM2,1
527,17,RM1,RM1,RM1,1
528,18,EC4,EC4,EC4,1
529,18,SW1A,SW1A,SW1A,1
530,18,SW1E,SW1E,SW1E,1
531,18,SW1H,SW1H,SW1H,1
532,18,SW1P,SW1P,SW1P,1
533,18,SW1V,SW1V,SW1V,1
534,18,SW1W,SW1W,SW1W,1
535,18,SW1X,SW1X,SW1X,1
536,18,SW1Y,SW1Y,SW1Y,1
537,18,W1B,W1B,W1B,1
538,18,W1C,W1C,W1C,1
539,18,W1D,W1D,W1D,1
540,18,W1F,W1F,W1F,1
541,18,W1G,W1G,W1G,1
542,18,W1H,W1H,W1H,1
543,18,W1J,W1J,W1J,1
544,18,W1K,W1K,W1K,1
545,18,W1S,W1S,W1S,1
546,18,W1T,W1T,W1T,1
547,18,W1U,W1U,W1U,1
548,18,W1W,W1W,W1W,1
549,18,WC1A,WC1A,WC1A,1
550,18,WC1B,WC1B,WC1B,1
551,18,WC1E,WC1E,WC1E,1
552,18,WC1H,WC1H,WC1H,1
553,18,WC1N,WC1N,WC1N,1
554,18,WC1R,WC1R,WC1R,1
555,18,WC1V,WC1V,WC1V,1
556,18,WC1X,WC1X,WC1X,1
557,18,WC2A,WC2A,WC2A,1
558,18,WC2B,WC2B,WC2B,1
559,18,WC2E,WC2E,WC2E,1
560,18,WC2H,WC2H,WC2H,1
561,18,WC2R,WC2R,WC2R,1
562,18,EC1A,EC1A,EC1A,1
563,18,EC1M,EC1M,EC1M,1
564,18,EC1N,EC1N,EC1N,1
565,18,EC1R,EC1R,EC1R,1
566,18,EC1V,EC1V,EC1V,1
567,18,EC1Y,EC1Y,EC1Y,1
568,18,EC2A,EC2A,EC2A,1
569,18,EC2M,EC2M,EC2M,1
570,18,EC2N,EC2N,EC2N,1
571,18,EC2R,EC2R,EC2R,1
572,18,EC2V,EC2V,EC2V,1
573,18,EC2Y,EC2Y,EC2Y,1
574,18,EC3A,EC3A,EC3A,1
575,18,EC3V,EC3V,EC3V,1
576,18,EC4A,EC4A,EC4A,1
577,18,EC4M,EC4M,EC4M,1
578,18,EC4N,EC4N,EC4N,1
579,18,EC4R,EC4R,EC4R,1
580,18,EC4V,EC4V,EC4V,1
581,18,EC4Y,EC4Y,EC4Y,1
582,18,SE11,SE11,SE11,1
583,18,RM2,RM2,RM2,1
584,18,RM1,RM1,RM1,1
585,19,SW1A,SW1A,SW1A,1
586,19,SW1E,SW1E,SW1E,1
587,19,SW1H,SW1H,SW1H,1
588,19,SW1P,SW1P,SW1P,1
589,19,SW1V,SW1V,SW1V,1
590,19,SW1W,SW1W,SW1W,1
591,19,SW1X,SW1X,SW1X,1
592,19,SW1Y,SW1Y,SW1Y,1
593,19,W1B,W1B,W1B,1
594,19,W1C,W1C,W1C,1
595,19,W1D,W1D,W1D,1
596,19,W1F,W1F,W1F,1
597,19,W1G,W1G,W1G,1
598,19,W1H,W1H,W1H,1
599,19,W1J,W1J,W1J,1
600,19,W1K,W1K,W1K,1
601,19,W1S,W1S,W1S,1
602,19,W1T,W1T,W1T,1
603,19,W1U,W1U,W1U,1
604,19,W1W,W1W,W1W,1
605,19,WC1A,WC1A,WC1A,1
606,19,WC1B,WC1B,WC1B,1
607,19,WC1E,WC1E,WC1E,1
608,19,WC1H,WC1H,WC1H,1
609,19,WC1N,WC1N,WC1N,1
610,19,WC1R,WC1R,WC1R,1
611,19,WC1V,WC1V,WC1V,1
612,19,WC1X,WC1X,WC1X,1
613,19,WC2A,WC2A,WC2A,1
614,19,WC2B,WC2B,WC2B,1
615,19,WC2E,WC2E,WC2E,1
616,19,WC2H,WC2H,WC2H,1
617,19,WC2R,WC2R,WC2R,1
618,19,EC1A,EC1A,EC1A,1
619,19,EC1M,EC1M,EC1M,1
620,19,EC1N,EC1N,EC1N,1
621,19,EC1R,EC1R,EC1R,1
622,19,EC1V,EC1V,EC1V,1
623,19,EC1Y,EC1Y,EC1Y,1
624,19,EC2A,EC2A,EC2A,1
625,19,EC2M,EC2M,EC2M,1
626,19,EC2N,EC2N,EC2N,1
627,19,EC2R,EC2R,EC2R,1
628,19,EC2V,EC2V,EC2V,1
629,19,EC2Y,EC2Y,EC2Y,1
630,19,EC3A,EC3A,EC3A,1
631,19,EC3V,EC3V,EC3V,1
632,19,EC4A,EC4A,EC4A,1
633,19,EC4M,EC4M,EC4M,1
634,19,EC4N,EC4N,EC4N,1
635,19,EC4R,EC4R,EC4R,1
636,19,EC4V,EC4V,EC4V,1
637,19,EC4Y,EC4Y,EC4Y,1
638,19,SE11,SE11,SE11,1
639,19,RM2,RM2,RM2,1
640,19,RM1,RM1,RM1,1
641,20,SW1E,SW1E,SW1E,1
642,20,SW1H,SW1H,SW1H,1
643,20,SW1P,SW1P,SW1P,1
644,20,SW1V,SW1V,SW1V,1
645,20,SW1W,SW1W,SW1W,1
646,20,SW1X,SW1X,SW1X,1
647,20,SW1Y,SW1Y,SW1Y,1
648,20,W1B,W1B,W1B,1
649,20,W1C,W1C,W1C,1
650,20,W1D,W1D,W1D,1
651,20,W1F,W1F,W1F,1
652,20,W1G,W1G,W1G,1
653,20,W1H,W1H,W1H,1
654,20,W1J,W1J,W1J,1
655,20,W1K,W1K,W1K,1
656,20,W1S,W1S,W1S,1
657,20,W1T,W1T,W1T,1
658,20,W1U,W1U,W1U,1
659,20,W1W,W1W,W1W,1
660,20,WC1A,WC1A,WC1A,1
661,20,WC1B,WC1B,WC1B,1
662,20,WC1E,WC1E,WC1E,1
663,20,WC1H,WC1H,WC1H,1
664,20,WC1N,WC1N,WC1N,1
665,20,WC1R,WC1R,WC1R,1
666,20,WC1V,WC1V,WC1V,1
667,20,WC1X,WC1X,WC1X,1
668,20,WC2A,WC2A,WC2A,1
669,20,WC2B,WC2B,WC2B,1
670,20,WC2E,WC2E,WC2E,1
671,20,WC2H,WC2H,WC2H,1
672,20,WC2R,WC2R,WC2R,1
673,20,EC1A,EC1A,EC1A,1
674,20,EC1M,EC1M,EC1M,1
675,20,EC1N,EC1N,EC1N,1
676,20,EC1R,EC1R,EC1R,1
677,20,EC1V,EC1V,EC1V,1
678,20,EC1Y,EC1Y,EC1Y,1
679,20,EC2A,EC2A,EC2A,1
680,20,EC2M,EC2M,EC2M,1
681,20,EC2N,EC2N,EC2N,1
682,20,EC2R,EC2R,EC2R,1
683,20,EC2V,EC2V,EC2V,1
684,20,EC2Y,EC2Y,EC2Y,1
685,20,EC3A,EC3A,EC3A,1
686,20,EC3V,EC3V,EC3V,1
687,20,EC4A,EC4A,EC4A,1
688,20,EC4M,EC4M,EC4M,1
